-2.7809,53.3482,331102
0.1649,52.9184,553459
-1.4143,51.7585,463972
-1.0606,56.757,1074113
2.0531,52.1327,172761
3.7752,51.1974,899863
-0.6736,55.8498,192185
-0.0545,57.0327,162384
-0.249,52.4501,119668
0.8942,47.3999,671691
0.6756,49.3209,1275204
-1.1906,53.182,132039
0.8385,53.5775,878414
4.7235,53.8096,102818
2.024,53.4128,314823
1.7504,46.4337,574978
0.3834,60.8555,47105
0.8984,50.291,396542
0.3898,51.1872,275172
-0.3014,48.9906,942493
-2.2948,51.1245,192968
0.0387,53.3136,300880
-1.009,50.5461,673638
-1.0576,59.2574,150165
-0.6147,53.9279,357171
-2.2178,56.1714,515002
-0.7347,55.4864,353769
-1,-1,-1
1.6821,57.5309,195759
-0.0272,53.7488,1103762
-0.6535,53.4592,120056
-0.9129,55.7627,664887
-0.1711,55.5401,281852
-1.78,52.041,307534
1.5775,54.5459,878785
-1.2058,55.8448,497856
1.32,56.0329,177144
-0.0666,57.0394,396108
0.9523,53.6066,1645313
0.9703,57.4443,170889
-1.2479,51.4065,528785
-0.9861,52.7788,2170070
0.7458,55.2497,263250
0.4695,52.516,1054420
2.2619,52.1408,1173831
-1.4549,58.6996,188519
0.7257,53.8789,450601
-2.3343,53.0761,730780
1.0326,58.678,605209
0.2013,52.5387,2764140
0.1552,62.3318,114054
1.2668,51.8968,435716
0.6232,51.3505,132497
0.7742,55.8008,336776
2.8325,47.6895,957638
-0.1493,54.8479,536397
1.4245,49.9925,242722
1.0399,52.1606,781992
1.5604,52.1223,1064262
-0.0271,56.9799,670613
-0.205,50.9617,226872
1.4106,55.5345,713587
-4.536,50.9696,846880
-0.9905,50.0155,247757
-2.0448,54.2861,379585
0.3731,51.3884,909179
-2.2576,54.134,183862
-1.704,57.3953,269759
-0.0425,64.2579,188092
-1.0854,55.5425,493362
2.5143,49.8274,2191003
3.9968,54.9706,453875
-2.7483,56.2044,347926
1.4299,60.6015,217392
1.9515,50.4113,3102492
0.5414,57.3332,306316
-0.6988,56.7734,528545
-1.4558,54.9084,449435
0.6554,48.5336,941318
0.4408,57.4525,836838
-0.2545,53.4518,403988
0.7447,54.7567,184578
1.7524,55.3945,845160
-1.1771,51.6453,1118956
-1.8663,53.0762,531055
0.5895,50.9542,710962
0.2323,53.3364,619528
2.4689,53.6723,856621
3.9116,51.9294,2030850
1.0112,48.7382,660303
1.3475,52.6305,662121
-0.4823,55.7116,690254
0.2941,50.7122,667829
0.8719,55.3789,578366
0.404,57.4967,281108
0.3511,55.3003,344419
-0.4328,50.475,471934
0.7221,61.9301,306124
3.7638,56.7827,543133
1.5823,58.2759,405052
0.4435,53.516,246586
0.2678,53.0547,582202
1.9121,55.9322,412683
-1.1113,49.2615,233925
-2.2366,53.8548,296909
-1.4056,48.6541,724401
-1.9398,51.3581,393433
-1.1263,54.7368,441032
-2.8691,50.8774,963498
-2.6077,52.3784,63486
-1.7541,50.8847,281210
-0.9397,58.7979,443733
-0.3087,52.2734,1334932
1.2372,52.2113,323763
-0.1826,53.498,657457
1.1422,46.5648,738197
2.2749,49.2052,759984
