-1.3093,46.492,52310
0.8658,46.6688,92175
0.4086,44.7456,90735
0.1641,49.495,188540
0.2578,48.313,29609
0.1229,49.1477,158469
0.0416,49.181,38344
0.7526,49.9281,29236
-2.0243,48.8209,27734
1.146,42.5165,111954
0.841,44.1862,223848
0.812,45.6869,26478
0.3484,48.3252,142644
-1.4772,53.8854,17424
-0.0696,49.649,55844
-1.063,44.603,106190
-0.0412,54.5186,11552
1.0492,44.9879,66580
-0.42,46.7179,51432
-0.9238,44.7445,187462
-1.15,44.9485,34782
0.4692,47.2851,61717
-0.6207,45.1189,136652
-0.8556,52.4316,26936
0.0823,47.5797,69847
1.1779,46.9829,100230
-0.2136,49.044,65168
0.2409,44.7487,263366
0.3652,52.469,41230
-0.9657,48.9749,199316
-0.17,47.3897,24691
1.2967,47.6525,115232
0.8006,48.4655,45748
-1.5431,46.5724,55943
0.8221,49.3271,163472
-0.4066,49.2084,112192
-0.5231,51.6442,32203
0.9064,49.9053,77128
0.017,48.7543,298312
-1.2237,53.4385,41427
-0.3243,45.3278,105957
1.5681,45.1568,380642
-1,-1,-1
-0.8477,48.2799,205518
-0.4101,49.068,203277
0.1137,50.748,36096
-0.2495,49.1391,103506
2.1601,43.4199,155387
-0.221,53.2063,101456
-0.0711,47.3227,535054
-0.3125,55.7095,23303
-0.3146,47.9903,82973
-0.39,47.0362,23990
-0.3178,50.8525,69969
0.3397,45.1972,168756
-2.7475,51.5495,99419
-1.5105,47.7772,43753
0.1888,47.4872,142794
-0.7252,48.7652,209481
0.3442,50.2995,106991
-2.3301,47.9334,34212
0.509,50.3362,140392
0.2779,41.5251,151679
0.3359,43.716,51393
0.2663,46.3674,75167
0.2662,46.1958,177451
-1.179,47.4748,32434
-0.7982,50.3709,50138
-0.3457,57.5498,43703
0.678,47.971,97465
1.8025,45.2147,354568
-2.4759,55.1035,77525
-0.2376,47.8984,73495
0.5256,54.5318,40910
0.0881,46.6666,570560
0.6761,50.9715,65774
1.3043,48.6635,93530
0.2488,47.4934,83820
-1.059,45.3719,148140
0.1507,51.5275,184973
-0.9661,48.4949,65215
-0.3873,49.9732,35545
-0.1292,51.1193,156066
-0.2042,45.5278,216072
-0.5163,46.3574,103498
0.5214,45.776,127405
-0.0401,48.011,117650
-1.6873,51.8122,158451
0.7538,48.9635,286942
-0.3338,45.2605,89641
-1.1355,49.4397,115403
0.8986,48.3639,115156
-0.2411,46.0525,125244
-0.5265,50.6709,100833
0.0225,51.3799,46487
-1.7743,51.4791,68146
-1.3376,46.2651,101316
0.0326,55.7329,64906
0.6659,53.3846,107825
0.404,52.9132,78436
-1.2132,49.493,47839
-1.729,49.4386,101979
0.4976,51.2119,88001
-0.5542,43.8687,46035
-0.3014,46.439,62919
-0.4103,42.9618,144577
-1.0686,45.3853,76864
0.6537,47.2302,85983
-0.3449,43.5385,181322
-2.3804,46.895,15910
-0.6214,44.7169,53823
0.1529,51.2228,80915
0.2359,46.3682,222163
-0.5807,48.4689,55062
-0.557,48.2483,129449
-1.4069,44.5233,124117
-0.1277,46.4469,129522
